"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000027634","ENSMUSG00000027634","Ndrg3","N-myc downstream regulated gene 3 [Source:MGI Symbol;Acc:MGI:1352499]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031627","ENSMUSG00000031627","Irf2","interferon regulatory factor 2 [Source:MGI Symbol;Acc:MGI:96591]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029684","ENSMUSG00000029684","Wasl","WASP like actin nucleation promoting factor [Source:MGI Symbol;Acc:MGI:1920428]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037885","ENSMUSG00000037885","Stk35","serine/threonine kinase 35 [Source:MGI Symbol;Acc:MGI:1914583]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033845","ENSMUSG00000033845","Mrpl15","mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000001751","ENSMUSG00000001751","Naglu","alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB) [Source:MGI Symbol;Acc:MGI:1351641]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000059142","ENSMUSG00000059142","Zfp945","zinc finger protein 945 [Source:MGI Symbol;Acc:MGI:2445132]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033161","ENSMUSG00000033161","Atp1a1","ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:88105]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021767","ENSMUSG00000021767","Kat6b","K(lysine) acetyltransferase 6B [Source:MGI Symbol;Acc:MGI:1858746]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027878","ENSMUSG00000027878","Notch2","notch 2 [Source:MGI Symbol;Acc:MGI:97364]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021661","ENSMUSG00000021661","Ankra2","ankyrin repeat, family A (RFXANK-like), 2 [Source:MGI Symbol;Acc:MGI:1915808]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030754","ENSMUSG00000030754","Copb1","coatomer protein complex, subunit beta 1 [Source:MGI Symbol;Acc:MGI:1917599]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025584","ENSMUSG00000025584","Pde8a","phosphodiesterase 8A [Source:MGI Symbol;Acc:MGI:1277116]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021033","ENSMUSG00000021033","Gstz1","glutathione transferase zeta 1 (maleylacetoacetate isomerase) [Source:MGI Symbol;Acc:MGI:1341859]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024983","ENSMUSG00000024983","Vti1a","vesicle transport through interaction with t-SNAREs 1A [Source:MGI Symbol;Acc:MGI:1855699]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028035","ENSMUSG00000028035","Dnajb4","DnaJ heat shock protein family (Hsp40) member B4 [Source:MGI Symbol;Acc:MGI:1914285]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030407","ENSMUSG00000030407","Qpctl","glutaminyl-peptide cyclotransferase-like [Source:MGI Symbol;Acc:MGI:1914619]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020817","ENSMUSG00000020817","Rabep1","rabaptin, RAB GTPase binding effector protein 1 [Source:MGI Symbol;Acc:MGI:1860236]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025241","ENSMUSG00000025241","Fyco1","FYVE and coiled-coil domain containing 1 [Source:MGI Symbol;Acc:MGI:107277]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028245","ENSMUSG00000028245","Nsmaf","neutral sphingomyelinase (N-SMase) activation associated factor [Source:MGI Symbol;Acc:MGI:1341864]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000075703","ENSMUSG00000075703","Selenoi","selenoprotein I [Source:MGI Symbol;Acc:MGI:107898]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024143","ENSMUSG00000024143","Rhoq","ras homolog family member Q [Source:MGI Symbol;Acc:MGI:1931553]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000056770","ENSMUSG00000056770","Setd3","SET domain containing 3 [Source:MGI Symbol;Acc:MGI:1289184]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033632","ENSMUSG00000033632","AW554918","expressed sequence AW554918 [Source:MGI Symbol;Acc:MGI:2147376]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025209","ENSMUSG00000025209","Twnk","twinkle mtDNA helicase [Source:MGI Symbol;Acc:MGI:2137410]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035834","ENSMUSG00000035834","Polr3g","polymerase (RNA) III (DNA directed) polypeptide G [Source:MGI Symbol;Acc:MGI:1914736]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020114","ENSMUSG00000020114","Cand1","cullin associated and neddylation disassociated 1 [Source:MGI Symbol;Acc:MGI:1261820]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038797","ENSMUSG00000038797","Zscan2","zinc finger and SCAN domain containing 2 [Source:MGI Symbol;Acc:MGI:99176]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025810","ENSMUSG00000025810","Nrp1","neuropilin 1 [Source:MGI Symbol;Acc:MGI:106206]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000016664","ENSMUSG00000016664","Pacsin2","protein kinase C and casein kinase substrate in neurons 2 [Source:MGI Symbol;Acc:MGI:1345153]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029345","ENSMUSG00000029345","Tfip11","tuftelin interacting protein 11 [Source:MGI Symbol;Acc:MGI:1930075]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028937","ENSMUSG00000028937","Acot7","acyl-CoA thioesterase 7 [Source:MGI Symbol;Acc:MGI:1917275]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032216","ENSMUSG00000032216","Nedd4","neural precursor cell expressed, developmentally down-regulated 4 [Source:MGI Symbol;Acc:MGI:97297]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000042082","ENSMUSG00000042082","Arsb","arylsulfatase B [Source:MGI Symbol;Acc:MGI:88075]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024376","ENSMUSG00000024376","Epb41l4a","erythrocyte membrane protein band 4.1 like 4a [Source:MGI Symbol;Acc:MGI:103007]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024477","ENSMUSG00000024477","Pggt1b","protein geranylgeranyltransferase type I, beta subunit [Source:MGI Symbol;Acc:MGI:1917514]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026072","ENSMUSG00000026072","Il1r1","interleukin 1 receptor, type I [Source:MGI Symbol;Acc:MGI:96545]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026309","ENSMUSG00000026309","Ilkap","integrin-linked kinase-associated serine/threonine phosphatase 2C [Source:MGI Symbol;Acc:MGI:1914694]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000090523","ENSMUSG00000090523","Gypc","glycophorin C [Source:MGI Symbol;Acc:MGI:1098566]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030527","ENSMUSG00000030527","Crtc3","CREB regulated transcription coactivator 3 [Source:MGI Symbol;Acc:MGI:1917711]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035239","ENSMUSG00000035239","Neu3","neuraminidase 3 [Source:MGI Symbol;Acc:MGI:1355305]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039166","ENSMUSG00000039166","Akap7","A kinase (PRKA) anchor protein 7 [Source:MGI Symbol;Acc:MGI:1859150]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024392","ENSMUSG00000024392","Bag6","BCL2-associated athanogene 6 [Source:MGI Symbol;Acc:MGI:1919439]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033228","ENSMUSG00000033228","Scaf11","SR-related CTD-associated factor 11 [Source:MGI Symbol;Acc:MGI:1919443]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000023886","ENSMUSG00000023886","Smoc2","SPARC related modular calcium binding 2 [Source:MGI Symbol;Acc:MGI:1929881]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035529","ENSMUSG00000035529","Prdm4","PR domain containing 4 [Source:MGI Symbol;Acc:MGI:1920093]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097162","ENSMUSG00000097162","2310010J17Rik","RIKEN cDNA 2310010J17 gene [Source:MGI Symbol;Acc:MGI:1925579]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050965","ENSMUSG00000050965","Prkca","protein kinase C, alpha [Source:MGI Symbol;Acc:MGI:97595]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021782","ENSMUSG00000021782","Dlg5","discs large MAGUK scaffold protein 5 [Source:MGI Symbol;Acc:MGI:1918478]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027195","ENSMUSG00000027195","Hsd17b12","hydroxysteroid (17-beta) dehydrogenase 12 [Source:MGI Symbol;Acc:MGI:1926967]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040760","ENSMUSG00000040760","Appl1","adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1 [Source:MGI Symbol;Acc:MGI:1920243]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033862","ENSMUSG00000033862","Cdk10","cyclin dependent kinase 10 [Source:MGI Symbol;Acc:MGI:2448549]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025545","ENSMUSG00000025545","Clybl","citrate lyase beta like [Source:MGI Symbol;Acc:MGI:1916884]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000018927","ENSMUSG00000018927","Ccl6","chemokine (C-C motif) ligand 6 [Source:MGI Symbol;Acc:MGI:98263]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000052921","ENSMUSG00000052921","Arhgef15","Rho guanine nucleotide exchange factor (GEF) 15 [Source:MGI Symbol;Acc:MGI:3045246]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026197","ENSMUSG00000026197","Zfand2b","zinc finger, AN1 type domain 2B [Source:MGI Symbol;Acc:MGI:1916068]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000015697","ENSMUSG00000015697","Setdb1","SET domain, bifurcated 1 [Source:MGI Symbol;Acc:MGI:1934229]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000051790","ENSMUSG00000051790","Nlgn2","neuroligin 2 [Source:MGI Symbol;Acc:MGI:2681835]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025968","ENSMUSG00000025968","Ndufs1","NADH:ubiquinone oxidoreductase core subunit S1 [Source:MGI Symbol;Acc:MGI:2443241]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000051510","ENSMUSG00000051510","Mafg","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian) [Source:MGI Symbol;Acc:MGI:96911]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038859","ENSMUSG00000038859","Baiap2l1","BAI1-associated protein 2-like 1 [Source:MGI Symbol;Acc:MGI:1914148]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031985","ENSMUSG00000031985","Gnpat","glyceronephosphate O-acyltransferase [Source:MGI Symbol;Acc:MGI:1343460]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036278","ENSMUSG00000036278","Macrod1","mono-ADP ribosylhydrolase 1 [Source:MGI Symbol;Acc:MGI:2147583]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000084957","ENSMUSG00000084957","Bbip1","BBSome interacting protein 1 [Source:MGI Symbol;Acc:MGI:1913610]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000003039","ENSMUSG00000003039","Fam32a","family with sequence similarity 32, member A [Source:MGI Symbol;Acc:MGI:1915172]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026395","ENSMUSG00000026395","Ptprc","protein tyrosine phosphatase receptor type C [Source:MGI Symbol;Acc:MGI:97810]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000023805","ENSMUSG00000023805","Synj2","synaptojanin 2 [Source:MGI Symbol;Acc:MGI:1201671]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000052337","ENSMUSG00000052337","Immt","inner membrane protein, mitochondrial [Source:MGI Symbol;Acc:MGI:1923864]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031622","ENSMUSG00000031622","Sin3b","transcriptional regulator, SIN3B (yeast) [Source:MGI Symbol;Acc:MGI:107158]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000042055","ENSMUSG00000042055","Wdr11","WD repeat domain 11 [Source:MGI Symbol;Acc:MGI:1920230]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000012017","ENSMUSG00000012017","Scarf2","scavenger receptor class F, member 2 [Source:MGI Symbol;Acc:MGI:1858430]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024013","ENSMUSG00000024013","Fgd2","FYVE, RhoGEF and PH domain containing 2 [Source:MGI Symbol;Acc:MGI:1347084]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033114","ENSMUSG00000033114","Slc35d2","solute carrier family 35, member D2 [Source:MGI Symbol;Acc:MGI:1917734]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110344","ENSMUSG00000110344","Smim36","small integral membrane protein 36 [Source:MGI Symbol;Acc:MGI:5804831]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041769","ENSMUSG00000041769","Ppp2r2d","protein phosphatase 2, regulatory subunit B, delta [Source:MGI Symbol;Acc:MGI:1289252]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000019080","ENSMUSG00000019080","Mfsd3","major facilitator superfamily domain containing 3 [Source:MGI Symbol;Acc:MGI:1916822]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000045211","ENSMUSG00000045211","Nudt18","nudix hydrolase 18 [Source:MGI Symbol;Acc:MGI:2385853]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030421","ENSMUSG00000030421","Uri1","URI1, prefoldin-like chaperone [Source:MGI Symbol;Acc:MGI:1342294]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025410","ENSMUSG00000025410","Dctn2","dynactin 2 [Source:MGI Symbol;Acc:MGI:107733]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033318","ENSMUSG00000033318","Gstt2","glutathione S-transferase, theta 2 [Source:MGI Symbol;Acc:MGI:106188]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000048581","ENSMUSG00000048581","E130311K13Rik","RIKEN cDNA E130311K13 gene [Source:MGI Symbol;Acc:MGI:3607716]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000044018","ENSMUSG00000044018","Mrpl50","mitochondrial ribosomal protein L50 [Source:MGI Symbol;Acc:MGI:107329]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038500","ENSMUSG00000038500","Prr3","proline-rich polypeptide 3 [Source:MGI Symbol;Acc:MGI:1922460]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8","heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000001151","ENSMUSG00000001151","Pcnt","pericentrin (kendrin) [Source:MGI Symbol;Acc:MGI:102722]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000061207","ENSMUSG00000061207","Stk19","serine/threonine kinase 19 [Source:MGI Symbol;Acc:MGI:1860085]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026896","ENSMUSG00000026896","Ifih1","interferon induced with helicase C domain 1 [Source:MGI Symbol;Acc:MGI:1918836]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036775","ENSMUSG00000036775","Decr2","2-4-dienoyl-Coenzyme A reductase 2, peroxisomal [Source:MGI Symbol;Acc:MGI:1347059]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034681","ENSMUSG00000034681","Rnps1","RNA binding protein with serine rich domain 1 [Source:MGI Symbol;Acc:MGI:97960]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039763","ENSMUSG00000039763","Dnajc28","DnaJ heat shock protein family (Hsp40) member C28 [Source:MGI Symbol;Acc:MGI:2181053]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031903","ENSMUSG00000031903","Pla2g15","phospholipase A2, group XV [Source:MGI Symbol;Acc:MGI:2178076]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000079164","ENSMUSG00000079164","Tlr5","toll-like receptor 5 [Source:MGI Symbol;Acc:MGI:1858171]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000042010","ENSMUSG00000042010","Acacb","acetyl-Coenzyme A carboxylase beta [Source:MGI Symbol;Acc:MGI:2140940]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000054611","ENSMUSG00000054611","Kdm2a","lysine (K)-specific demethylase 2A [Source:MGI Symbol;Acc:MGI:1354736]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000068134","ENSMUSG00000068134","Zfp120","zinc finger protein 120 [Source:MGI Symbol;Acc:MGI:1345179]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030284","ENSMUSG00000030284","Creld1","cysteine-rich with EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:2152539]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020777","ENSMUSG00000020777","Acox1","acyl-Coenzyme A oxidase 1, palmitoyl [Source:MGI Symbol;Acc:MGI:1330812]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050471","ENSMUSG00000050471","Fam118b","family with sequence similarity 118, member B [Source:MGI Symbol;Acc:MGI:1924483]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034926","ENSMUSG00000034926","Dhcr24","24-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1922004]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025790","ENSMUSG00000025790","Slco3a1","solute carrier organic anion transporter family, member 3a1 [Source:MGI Symbol;Acc:MGI:1351867]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000023022","ENSMUSG00000023022","Lima1","LIM domain and actin binding 1 [Source:MGI Symbol;Acc:MGI:1920992]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000046324","ENSMUSG00000046324","Ermp1","endoplasmic reticulum metallopeptidase 1 [Source:MGI Symbol;Acc:MGI:106250]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037570","ENSMUSG00000037570","Mcrs1","microspherule protein 1 [Source:MGI Symbol;Acc:MGI:1858420]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041997","ENSMUSG00000041997","Tlk1","tousled-like kinase 1 [Source:MGI Symbol;Acc:MGI:2441683]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000003033","ENSMUSG00000003033","Ap1m1","adaptor-related protein complex AP-1, mu subunit 1 [Source:MGI Symbol;Acc:MGI:102776]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000053835","ENSMUSG00000053835","H2-T24","histocompatibility 2, T region locus 24 [Source:MGI Symbol;Acc:MGI:95958]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000023079","ENSMUSG00000023079","Gtf2ird1","general transcription factor II I repeat domain-containing 1 [Source:MGI Symbol;Acc:MGI:1861942]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025085","ENSMUSG00000025085","Ablim1","actin-binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1194500]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029713","ENSMUSG00000029713","Gnb2","guanine nucleotide binding protein (G protein), beta 2 [Source:MGI Symbol;Acc:MGI:95784]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028468","ENSMUSG00000028468","Rgp1","RAB6A GEF compex partner 1 [Source:MGI Symbol;Acc:MGI:1915956]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039982","ENSMUSG00000039982","Dtx4","deltex 4, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:2672905]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000053560","ENSMUSG00000053560","Ier2","immediate early response 2 [Source:MGI Symbol;Acc:MGI:104815]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020664","ENSMUSG00000020664","Dld","dihydrolipoamide dehydrogenase [Source:MGI Symbol;Acc:MGI:107450]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000053553","ENSMUSG00000053553","3110082I17Rik","RIKEN cDNA 3110082I17 gene [Source:MGI Symbol;Acc:MGI:1920462]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000051238","ENSMUSG00000051238","Swsap1","SWIM type zinc finger 7 associated protein 1 [Source:MGI Symbol;Acc:MGI:1914212]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038866","ENSMUSG00000038866","Zcchc2","zinc finger, CCHC domain containing 2 [Source:MGI Symbol;Acc:MGI:2444114]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000078716","ENSMUSG00000078716","Tmem8b","transmembrane protein 8B [Source:MGI Symbol;Acc:MGI:2441680]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022094","ENSMUSG00000022094","Slc39a14","solute carrier family 39 (zinc transporter), member 14 [Source:MGI Symbol;Acc:MGI:2384851]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050234","ENSMUSG00000050234","Gja4","gap junction protein, alpha 4 [Source:MGI Symbol;Acc:MGI:95715]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000052512","ENSMUSG00000052512","Nav2","neuron navigator 2 [Source:MGI Symbol;Acc:MGI:2183691]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000005611","ENSMUSG00000005611","Irag1","inositol 1,4,5-triphosphate receptor associated 1 [Source:MGI Symbol;Acc:MGI:1338023]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000005102","ENSMUSG00000005102","Eif2ak4","eukaryotic translation initiation factor 2 alpha kinase 4 [Source:MGI Symbol;Acc:MGI:1353427]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000053838","ENSMUSG00000053838","Nudcd3","NudC domain containing 3 [Source:MGI Symbol;Acc:MGI:2144158]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031825","ENSMUSG00000031825","Crispld2","cysteine-rich secretory protein LCCL domain containing 2 [Source:MGI Symbol;Acc:MGI:1926142]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000001380","ENSMUSG00000001380","Hars1","histidyl-tRNA synthetase 1 [Source:MGI Symbol;Acc:MGI:108087]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028668","ENSMUSG00000028668","Eloa","elongin A [Source:MGI Symbol;Acc:MGI:1351315]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000071528","ENSMUSG00000071528","Atp5mk","ATP synthase membrane subunit k [Source:MGI Symbol;Acc:MGI:1891435]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032062","ENSMUSG00000032062","2310030G06Rik","RIKEN cDNA 2310030G06 gene [Source:MGI Symbol;Acc:MGI:1914202]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027952","ENSMUSG00000027952","Pmvk","phosphomevalonate kinase [Source:MGI Symbol;Acc:MGI:1915853]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025077","ENSMUSG00000025077","Dclre1a","DNA cross-link repair 1A [Source:MGI Symbol;Acc:MGI:1930042]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033276","ENSMUSG00000033276","Stk36","serine/threonine kinase 36 [Source:MGI Symbol;Acc:MGI:1920831]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000053119","ENSMUSG00000053119","Chmp3","charged multivesicular body protein 3 [Source:MGI Symbol;Acc:MGI:1913950]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000014778","ENSMUSG00000014778","Fhod1","formin homology 2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2679008]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020821","ENSMUSG00000020821","Kif1c","kinesin family member 1C [Source:MGI Symbol;Acc:MGI:1098260]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000007041","ENSMUSG00000007041","Clic1","chloride intracellular channel 1 [Source:MGI Symbol;Acc:MGI:2148924]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037622","ENSMUSG00000037622","Wdtc1","WD and tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:2685541]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034135","ENSMUSG00000034135","Sik3","SIK family kinase 3 [Source:MGI Symbol;Acc:MGI:2446296]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034522","ENSMUSG00000034522","Zfp395","zinc finger protein 395 [Source:MGI Symbol;Acc:MGI:2682318]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000054720","ENSMUSG00000054720","Lrrc8c","leucine rich repeat containing 8 family, member C [Source:MGI Symbol;Acc:MGI:2140839]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000066026","ENSMUSG00000066026","Dhrs3","dehydrogenase/reductase (SDR family) member 3 [Source:MGI Symbol;Acc:MGI:1315215]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040242","ENSMUSG00000040242","Fgfr1op2","FGFR1 oncogene partner 2 [Source:MGI Symbol;Acc:MGI:1914779]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000006418","ENSMUSG00000006418","Rnf114","ring finger protein 114 [Source:MGI Symbol;Acc:MGI:1933159]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000075705","ENSMUSG00000075705","Msrb1","methionine sulfoxide reductase B1 [Source:MGI Symbol;Acc:MGI:1351642]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000058979","ENSMUSG00000058979","Hdhd5","haloacid dehalogenase like hydrolase domain containing 5 [Source:MGI Symbol;Acc:MGI:2136976]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110613","ENSMUSG00000110613","Lncbate1","brown adipose tissue enriched long non-coding RNA 1 [Source:MGI Symbol;Acc:MGI:1924437]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036368","ENSMUSG00000036368","Rmdn2","regulator of microtubule dynamics 2 [Source:MGI Symbol;Acc:MGI:2147043]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020134","ENSMUSG00000020134","Peli1","pellino 1 [Source:MGI Symbol;Acc:MGI:1914495]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024002","ENSMUSG00000024002","Brd4","bromodomain containing 4 [Source:MGI Symbol;Acc:MGI:1888520]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024135","ENSMUSG00000024135","Srbd1","S1 RNA binding domain 1 [Source:MGI Symbol;Acc:MGI:1925836]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000004356","ENSMUSG00000004356","Utp20","UTP20 small subunit processome component [Source:MGI Symbol;Acc:MGI:1917933]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027597","ENSMUSG00000027597","Ahcy","S-adenosylhomocysteine hydrolase [Source:MGI Symbol;Acc:MGI:87968]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000057342","ENSMUSG00000057342","Sphk2","sphingosine kinase 2 [Source:MGI Symbol;Acc:MGI:1861380]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021870","ENSMUSG00000021870","Slmap","sarcolemma associated protein [Source:MGI Symbol;Acc:MGI:1933549]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000006818","ENSMUSG00000006818","Sod2","superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000043311","ENSMUSG00000043311","D17H6S53E","DNA segment, Chr 17, human D6S53E [Source:MGI Symbol;Acc:MGI:90673]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036687","ENSMUSG00000036687","Tmem184a","transmembrane protein 184a [Source:MGI Symbol;Acc:MGI:2385897]","ARRAYEXPRESS,ENSG"
